103.31.4.158 #电信-DEN
104.16.148.43 #电信-LAX
104.16.158.153 #电信-LAX
104.16.158.153 #移动-HKG
104.17.144.69 #移动-HKG
104.17.144.97 #移动-HKG
104.17.149.57 #移动-HKG
104.17.153.77 #移动-HKG
104.17.176.70 #联通-LAX
104.19.144.81 #联通-LAX
104.19.147.172 #联通-LAX
104.19.161.115 #联通-LAX
172.64.186.156 #联通-LAX
172.66.208.253 #电信-FRA
172.67.102.86 #电信-FRA
2400:cb00:2049::9059:bbe0 #电信-SIN
2606:4700:12::f811:1769 #联通-LAX
2606:4700:131::9cbb:3baf #联通-LAX
2606:4700:13b::7f6c:8e8d #联通-LAX
2606:4700:3055::1b53:aa07 #联通-LAX
2606:4700:4405::1668:2052 #电信-SIN
2606:4700:5b::d55a:5c99 #电信-SIN
2606:4700:90d5::5e4c:7fae #移动-HKG
2606:4700:91bb::a313:eec5 #移动-HKG
2606:4700:9ad2::760e:b2f0 #移动-HKG
2606:4700:9aea::4801:c39f #移动-HKG
2803:f800:51::9ac5:84d7 #电信-SIN
2a06:98c1:4f::b982:13a3 #移动-HKG
2a06:98c1:4f::b982:13a3 #联通-LAX
2a06:98c1:56::f5b7:5fd8 #电信-SIN
