2606:4700:1b::ca9b:3926 #移动-LAX
2606:4700:2b::ca6a:68e0 #移动-SEA
2606:4700:4407::bf9e:fd66 #电信-SIN
2606:4700:4409::d82b:60e7 #电信-SIN
2606:4700:440d::7e60:e0f8 #电信-SIN
2606:4700:91b6::55aa:f691 #联通-AMS
2606:4700:91b8::704f:394f #移动-HKG
2606:4700:91b8::983a:b62d #联通-AMS
2606:4700:9640::ca1:2bee #移动-HKG
2606:4700:9762::cdea:d154 #联通-AMS
2606:4700:9763::e4b2:76b9 #联通-AMS
2606:4700:9a65::ed85:dad0 #联通-AMS
2606:4700:9ae6::97c7:d9b #移动-HKG
2a06:98c1:3107::ca88:e0a #电信-SIN
2a06:98c1:310d::76b8:ae65 #电信-SIN
